順位,著者/チーム名,モデル・バックボーン構成,学習データと前処理,使用されたオーグメンテーション,推論の工夫・最適化,アンサンブル戦略,出典
1位,Volodymyr (vladimirsydor),"3つのSEDモデル（eca_nfnet_l0, convnext_small, convnextv2_tiny）",2020-2023年のコンペデータ、Xeno-Canto、Zenodoのnocall領域。クラスサンプリングウェイト、5秒チャンク。,"Mixup (p=0.5), 背景ノイズ (Zenodo), RandomFiltering (簡易EQ), SpecAug (Freq/Time)",ONNX変換、Temperature mean (  $pred^2$  の平均の平方根)、Attention SEDとMax Timewiseの加重平均,フルデータで再学習した3つの異なるバックボーンモデルのアンサンブル,1
2位,RihanPiggy (honglihang),"SED (EffNetV2-S, seresnext26t, EffNet-B3) および 2021年2位のCNN (EffNetV2-S, resnet34d, EffNet-B3, EffNet-B0)",2020-2023年のコンペデータ、Xeno-Canto。10-20秒クリップ、サンプリングウェイト使用。,"Mixup (波形/スペクトログラム), self mixup, 背景ノイズ, 各種ノイズ (Gaussian, Pink, NoiseInjection), Gain, PitchShift, TimeShift, Freq/Time Masking",OpenVINOへの変換、10秒チャンク入力で中心5秒のみにヘッド適用、TTA (2秒),計7モデルのロジット加重平均およびランク平均,2
3位,adsr (mariotsaberlin),"周波数帯域アテンション付きSED (tf_efficientnet_b0_ns, tf_efficientnetv2_s_in21k)",2020-2023年データ、DCASE 2018。ログメルスペクトログラム (n_mels=128) の3チャンネルRGB画像化。,"Mixup (時間ドメイン), リバーブ (Valhalla Vintage Verb), Pitch shift, Time stretch, 各種ノイズ, Color jitter",TorchScript変換、タイマー設定によるタイムアウト回避、入力スペクトログラムの事前計算とRAM保存,EfficientNetB0 (5個) と EfficientNetV2s (3個) の計8モデルによる単純平均,3
4位,atfujita (atsunorifujita),"eca_nfnet_l0 (MelSpectrogram, PCEN等異なるパラメータ設定の4モデル)",2021-2023年データ、Xeno-Canto、Zenodo背景音、ESC50、ff1010bird_nocall。20秒クリップのランダムサンプリング。,"知識蒸留 (Google Bird Vocalization Classifier), Mixup (p=1.0), GaussianNoise, 背景ノイズ, LowPassFilter, PitchShift",PyTorch JITの使用、ThreadPoolExecutorによる並列化,設定がわずかに異なる4つのモデルの単純平均,4
5位,Yevhenii Maslov (evgeniimaslov2),"SED (tf_efficientnet_b1_ns, b2_ns, b3_ns, tf_efficientnetv2_s_in21k)",2021-2023年データ、Xeno-Canto、ESC50、2021年no-call。5秒クリップ。,"Mixup (p=1, 波形), ノイズ注入 (White, Pink, Brown, ESC50等), SpecAug (Freq/Time)",ONNX runtimeの使用、ThreadPoolExecutorの活用,各フォールドおよびフルデータ学習モデル計15モデルの予測値平均,5
6位,anonamename,"BirdNET-Analyzer V2.2 埋め込み + CNN (eca_nfnet_l1, seresnext26t_32x4d)",2021-2022年データで事前学習後、2023年データで微調整。30秒入力をBirdNETで3秒ごとに平均化。,"Mixup, Shift, Gaussian Noise, random lowpass filter, Freq/Time Masking, Oversampling",ONNXへの変換、ThreadPoolExecutorによる高速化,異なるCNNバックボーンを持つ2つのモデルの出力を単純平均,6
7位,"Tingir Badmaev, Danil Gaynanov 等","rexnet150 (一部アテンションヘッド付き), efficientnet-b2。知識蒸留を使用。",フルデータセット、5秒クリップ。混合精度 (bfloat16) 学習、EMA (decay 0.999) 適用。,"sumix (音量考慮の独自Mixup), sumup, concatmix, mixup, cutmix",OpenVINOによる高速化 (レイヤー融合とCPU最適化コンパイル),異なるシードやバックボーンによる計19-20モデルの大規模アンサンブル,7
8位,kunihikofurugori (furu-nag),eca_nfnet_l0 単一のバックボーン,2020-2023年データ、ff1010bird_nocall、Zenodo。Sound Object Detection (SOD) による前処理。,"Time Segment DownScaling, YOLOv8によるSOD, Geometrical Mixup, Resonance Mixup",日本語の情報なし,異なる解像度や学習設定のモデルによるアンサンブル,8
9位,"Harshit Sheoran, Nischay Dhankhar 等","efficientnet_b0, eca_nfnet_l0, convnext_tiny",過去全年度データ、5秒クリップ。蒸留と擬似ラベルを使用した複数ラウンド学習。,"Mixup, HFlip, Random Cutout, Pink/Gaussian Noise, Noise Injection, Random Volume, Pixel Dropout",OpenVINOによる高速化、音声の一括ロードとデータローダーによるバッチ処理,"7つのCNNモデル (b0, l0, tiny) および BirdNet とのアンサンブル",9
10位,Leon (leonshangguan),"SED (efficientnetv2_m, eca_nfnet_l0, efficientnet_v0, mnasnet_100, spnasnet_100, mobilenetv2_100)",2023年データ、一部2022年事前学習。異なるメルスペクトログラム設定でのプログレッシブ事前学習。,"Mixup, Cutmix, GaussianNoise, Background noise, PinkNoise, Gain",ONNX変換による量子化と推論高速化、ThreadPoolExecutorの活用,6つの異なるバックボーンを持つ計6-7モデルのアンサンブル,10
